,Areaname,STCOU,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,popini,popfin,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,FIPScounty,Percapdmg,Exposure,Recovery,NDamage,NExposure,NRecovery,Adaptability,adaptier,adaptiernum,Vulnerability,vultier,vultiernum,index
24,"DeKalb, AL",1049,64452,65678,65861,66530,67260,67794,68495,69450,70228,70864,70038,70608,70949,71076,71074.0,71068.0,70937.0,71194.0,71200.0,71310.0,71430.0,71554.0,01049,166.24453,603.8907303950311,0.008138439133042063,-0.07591714427091524,0.41097326511576987,0.19001657253915882,0.26593371681007405,High,3,-0.4868904093866851,Low,1,12
25,"Elmore, AL",1051,65874,67459,68659,69935,71018,72978,75246,77124,77698,78632,77650,78641,79330,79895,80321.0,80763.0,80957.0,80989.0,81212.0,81144.0,81526.0,87146.0,01051,751.7279300000001,680.2279350250634,0.012762395363811976,0.14737918833721544,0.5432808621812836,0.40797854169651154,0.26059935335929607,High,3,-0.39590167384406816,Low,1,12
26,"Escambia, AL",1053,38440,38197,38035,37796,37713,37601,37673,37839,37929,38249,37996,38081,38122,38169,38042.0,37935.0,37875.0,37621.0,37328.0,37057.0,36775.0,36879.0,01053,83.68813,173.6712149949073,0.002237077587114433,-0.10740316309455716,-0.33468293973413105,-0.08815915384432679,0.01924400925023037,Medium,2,0.22727977663957388,High,3,6
27,"Etowah, AL",1055,103459,102976,102988,103025,103080,103174,103528,103893,104206,104239,104066,104216,104317,104260,104126.0,103766.0,103363.0,103132.0,102939.0,102748.0,102721.0,103468.0,01055,109.35206,381.4017586737669,0.00144139296215863,-0.09761524861344331,0.025355513395836925,-0.1256657778321407,-0.028050529218697384,Medium,2,-0.12297076200928024,Medium,2,7
28,"Fayette, AL",1057,18495,18384,18278,18178,18022,18030,17767,17523,17541,17310,17472,17361,17219,17110,17019.0,16896.0,16783.0,16657.0,16585.0,16494.0,16406.0,16365.0,01057,772.63228,365.4014518775614,-0.006353021978021978,0.1553518562054364,-0.0023762087018846367,-0.49307540370318426,-0.6484272599086207,Low,1,0.15772806490732103,Medium,2,3
29,"Franklin, AL",1059,31223,31190,30891,30874,30768,30968,31134,31004,31459,31589,31383,31532,31664,31666,31663.0,31634.0,31573.0,31507.0,31542.0,31466.0,31587.0,32034.0,01059,1881.9019199999998,505.12459231589054,0.004747793391326515,0.5784139660543941,0.23979185411148407,0.030189838526959806,-0.5482241275274343,Low,1,0.33862211194291003,High,3,2
30,"Geneva, AL",1061,25764,25565,25580,25702,25772,25988,26271,26322,26646,26653,26541,26646,26769,26791,26816.0,26815.0,26765.0,26572.0,26491.0,26417.0,26383.0,26604.0,01061,1.85524,22.120292811900736,0.0039561433254210465,-0.13861324389911042,-0.5973509067401921,-0.00712660623090362,0.1314866376682068,High,3,0.45873766284108164,Extremely High,4,9
31,"Greene, AL",1063,9974,9866,9893,9805,9686,9675,9361,9385,9359,9182,9255,9170,9067,8934,8798.0,8697.0,8587.0,8533.0,8426.0,8324.0,8221.0,7851.0,01063,1055.8104299999998,322.46163992942473,-0.009184224743381956,0.2633525994711806,-0.07679946489573136,-0.6265313663083609,-0.8898839657795415,Low,1,0.340152064366912,High,3,2
32,"Hale, AL",1065,17185,17868,17376,17116,16765,16622,16427,16418,16260,16025,16168,15972,15750,15594,15393.0,15256.0,15159.0,14995.0,14887.0,14809.0,14754.0,14819.0,01065,1588.73559,537.7718931968038,-0.012122711528946067,0.4666038509713962,0.29637613632567866,-0.7650444348063665,-1.2316482857777626,Low,1,0.1702277146457175,Medium,2,3
33,"Henry, AL",1067,16310,16358,16447,16563,16692,16752,16953,17108,17129,17243,17148,17240,17275,17308,17270.0,17252.0,17187.0,17110.0,17124.0,17133.0,17123.0,17165.0,01067,19.01774,215.97268358941167,0.00536505714952181,-0.1320676726525353,-0.26136605985614697,0.059286139943141886,0.1913538125956772,High,3,0.12929838720361167,Medium,2,11
34,"Houston, AL",1069,88787,89490,89940,91321,92593,93903,95846,97727,99183,100500,99029,100310,101459,102326,103079.0,103534.0,103891.0,104108.0,104352.0,104702.0,105319.0,106355.0,01069,2.28268,54.03724813549621,0.012935604721849155,-0.13845022341994734,-0.5420324590058494,0.4161432065138465,0.5545934299337938,Extremely High,4,0.40358223558590206,High,3,14
35,"Jackson, AL",1071,53926,53997,53758,53711,53525,53332,53483,53333,53525,53461,53386,53357,53279,53171,53012.0,52860.0,52608.0,52326.0,52094.0,51852.0,51765.0,52548.0,01071,21.33985,492.83213498134484,-0.0005432135765931143,-0.13118204780490908,0.21848657446643607,-0.21921526826857224,-0.08803322046366316,Medium,2,-0.34966862227134515,Low,1,8
36,"Jefferson, AL",1073,662047,660197,657518,657513,656023,654919,655893,655163,656510,658441,656912,657486,658464,658552,658834.0,659026.0,659096.0,659460.0,659892.0,659680.0,658615.0,672550.0,01073,1283.5702999999999,715.5141775293295,0.0008737852254183209,0.35021747674405396,0.6044389564269002,-0.15242141604203494,-0.5026388927860889,Low,1,-0.2542214796828462,Low,1,4
37,"Lamar, AL",1075,15904,15632,15446,15258,15075,15009,14816,14901,14799,14689,14743,14644,14513,14396,14268.0,14133.0,14066.0,14021.0,13933.0,13885.0,13854.0,13929.0,01075,34.81272,403.37131094396995,-0.006715051210744082,-0.12604365709954304,0.06343312815214423,-0.5101405748506836,-0.38409691775114063,Low,1,-0.18947678525168726,Low,1,4
38,"Lauderdale, AL",1077,87966,87791,87627,88103,88732,89358,90294,91107,92202,92526,91762,92269,92528,92666,92780.0,92737.0,92641.0,92590.0,92585.0,92556.0,92870.0,93342.0,01077,24.8177,384.54047121790836,0.005525162921470761,-0.12985563761059585,0.030795528086018112,0.06683313381285695,0.1966887714234528,High,3,-0.16065116569661397,Low,1,12
39,"Lawrence, AL",1079,34803,34870,34698,34488,34318,34435,34028,34293,34196,34315,34235,34250,34148,34009,33835.0,33586.0,33433.0,33288.0,33171.0,33058.0,32969.0,33089.0,01079,1383.86553,466.3479719532665,0.00043814809405579085,0.3884688721501218,0.1725842390649926,-0.1729562832101066,-0.5614251553602284,Low,1,0.21588463308512923,High,3,2
40,"Lee, AL",1081,115092,116819,118392,120071,122274,126133,129247,131934,134524,138566,135010,137855,140938,144405,147790.0,150982.0,153947.0,156597.0,159287.0,161152.0,163461.0,172223.0,01081,33.77058,213.85052969455484,0.021072513147174284,-0.12644111677143852,-0.26504417570794575,0.7996971362493829,0.9261382530208214,Extremely High,4,0.13860305893650723,Medium,2,15
41,"Limestone, AL",1083,65676,66936,67677,68578,69593,71303,73651,76063,78835,81326,78614,80966,83313,85264,87167.0,88805.0,90257.0,91695.0,93052.0,94727.0,96921.0,101217.0,01083,13631.96551,446.3484066972692,0.029918335156587886,5.059747010781752,0.13792100461463228,1.2166675156740618,-3.8430794951076903,Low,1,4.9218260061671195,Extremely High,4,1
42,"Lowndes, AL",1085,13473,13329,13231,12996,12623,12397,12124,11973,11813,11486,11731,11538,11304,11086,10918.0,10742.0,10565.0,10362.0,10236.0,10079.0,9936.0,10334.0,01085,11.89045,351.5717295171249,-0.01645213536782883,-0.13478593540504819,-0.02634587516348172,-0.9691228685424378,-0.8343369331373895,Low,1,-0.10844006024156647,Medium,2,3
43,"Macon, AL",1087,24105,23925,23563,23110,22685,22388,22227,21942,21597,21190,21699,21489,21214,20803,20505.0,20018.0,19684.0,19358.0,19054.0,18708.0,18437.0,19490.0,01087,32.93572,184.73136140085765,-0.009677865339416563,-0.12675952234235857,-0.3155135006479588,-0.649800374706781,-0.5230408523644224,Low,1,0.18875397830560023,Medium,2,3
44,"Madison, AL",1089,276700,281517,286439,291342,295655,301474,309170,315859,323526,330856,323080,329299,334661,339279,343229.0,346438.0,349973.0,353213.0,357560.0,362276.0,367686.0,382149.0,01089,3.33026,619.0503846870587,0.019249102389501054,-0.13805068899742806,0.4372479687998104,0.7137460200427784,0.8517967090402065,Extremely High,4,-0.5752986577972385,Low,1,16
45,"Marengo, AL",1091,22539,22203,22217,22025,21777,21569,21531,21475,21331,21170,21296,21130,20909,20669,20489.0,20306.0,20066.0,19743.0,19538.0,19321.0,19138.0,19397.0,01091,1396.61032,492.06250529418105,-0.007794891059353869,0.39332958189331996,0.2171526527564071,-0.5610415799707901,-0.95437116186411,Low,1,0.17617692913691285,Medium,2,3
46,"Marion, AL",1093,31214,30777,30608,30554,30516,30494,30779,30849,30918,30646,30792,30771,30641,30615,30527.0,30387.0,30239.0,30058.0,29965.0,29866.0,29818.0,29392.0,01093,6719.5391899999995,694.3293679818659,-0.0006819953234606392,2.423430683658017,0.5677214572847747,-0.2257570998345917,-2.649187783492609,Low,1,1.8557092263732424,Extremely High,4,1
47,"Marshall, AL",1095,82231,82477,83417,84348,85131,86516,88209,89605,91072,92213,90867,92052,93070,93699,94121.0,94318.0,94534.0,94738.0,95145.0,95643.0,96137.0,97179.0,01095,190.81053000000003,685.4398060116846,0.013041038000594276,-0.06654796709723049,0.5523140738347272,0.4211130729881615,0.48766104008539196,Extremely High,4,-0.6188620409319576,Low,1,16
48,"Mobile, AL",1097,399843,400129,398549,398082,397959,398942,402916,405715,409196,411994,408620,410520,412297,413188,414045.0,414251.0,414291.0,414328.0,414659.0,414114.0,413977.0,414620.0,01097,0.35863,500.3510136921395,0.004649796877294308,-0.13918403296733106,0.23151829051726083,0.025570522922958187,0.16475455589028926,High,3,-0.37070232348459187,Low,1,12
49,"Monroe, AL",1099,24324,24120,24022,23853,23769,23683,23602,23437,23393,23218,23329,23159,22993,22778,22509.0,22217.0,21975.0,21745.0,21512.0,21270.0,21006.0,20115.0,01099,59.8286,276.03239798403774,-0.0072870675982682495,-0.11650290110037198,-0.15727059905815233,-0.5371040260584136,-0.4206011249580416,Low,1,0.04076769795778035,Medium,2,3
50,"Montgomery, AL",1101,223510,223048,223185,222680,223002,223608,227291,227888,227461,227607,228018,228939,229376,228980,228850.0,228138.0,227392.0,227120.0,226941.0,226941.0,226451.0,229072.0,01101,3.5722,236.41144164447823,0.00403915480356814,-0.13795841598898545,-0.22594161671108853,-0.003213648508855648,0.1347447674801298,High,3,0.08798320072210308,Medium,2,11
51,"Morgan, AL",1103,111064,111682,111766,112898,113006,113964,115491,116397,117694,118954,117632,118521,119330,119673,119744.0,119786.0,119555.0,119157.0,119122.0,119213.0,119352.0,122608.0,01103,14.51486,365.48051466162246,0.007557467355821545,-0.1337850169703665,-0.0022391771321916107,0.16263098619965616,0.29641600317002265,High,3,-0.1315458398381749,Medium,2,11
52,"Perry, AL",1105,11861,11645,11549,11301,11153,10881,10677,10774,10722,10690,10684,10620,10525,10390,10203.0,10038.0,9856.0,9680.0,9486.0,9293.0,9104.0,8702.0,01105,233.38945999999999,397.2811174197476,-0.005990265818045676,-0.05030887489516583,0.05287760840578972,-0.4759759669857157,-0.42566709209054987,Low,1,-0.10318648330095555,Medium,2,3
53,"Pickens, AL",1107,20949,20873,20835,20527,20380,20192,20128,19989,19951,19814,19917,19765,19646,19516,19629.0,19856.0,20042.0,20170.0,20298.0,20243.0,20049.0,19240.0,01107,615.263,268.8628519994256,-0.007631671436461315,0.09533310402701077,-0.16969685183845848,-0.5533478067957661,-0.6486809108227769,Low,1,0.26502995586546924,High,3,2
54,"Pike, AL",1109,29605,29844,29695,30050,30593,30772,31309,31761,32149,32560,32147,32471,32750,32977,33216.0,33155.0,33277.0,33287.0,33403.0,33333.0,33274.0,33176.0,01109,2.1858,29.7836606692357,0.010078700967430864,-0.13848717228767457,-0.5840687621876499,0.28147576224559445,0.41996293453326905,Extremely High,4,0.4455815898999753,Extremely High,4,13
55,"Randolph, AL",1111,22380,22465,22464,22359,22525,22658,22695,22662,22946,22864,22817,22838,22843,22819,22724.0,22648.0,22615.0,22530.0,22574.0,22647.0,22732.0,21984.0,01111,10.88078,228.50369432768917,0.0009203663934785467,-0.1351710114091577,-0.23964731959549845,-0.1502256938921378,-0.015054682482980114,Medium,2,0.10447630818634077,Medium,2,7
56,"Russell, AL",1113,49756,49622,49489,49065,49498,49731,50459,51074,51434,52162,51663,52490,53938,55544,56980.0,58302.0,58636.0,58480.0,58213.0,57952.0,57938.0,58695.0,01113,1.27794,117.75928943845946,0.016007587635251536,-0.138833419181304,-0.431589455417169,0.5609489554453057,0.6997823746266096,Extremely High,4,0.292756036235865,High,3,14
57,"St. Clair, AL",1115,64742,66093,67274,68629,70416,72596,75948,79348,81223,83009,80658,82363,83530,84521,85242.0,85864.0,86576.0,86937.0,87306.0,87989.0,88929.0,90412.0,01115,2777.1412699999996,184.10415880672838,0.021138634729351086,0.9198474954447862,-0.316600567806164,0.802813945651503,-0.11703354979328318,Medium,2,1.2364480632509502,Extremely High,4,5
58,"Shelby, AL",1117,143293,149358,153976,159704,165757,171691,178841,183491,188534,192708,187880,191705,195237,198366,201168.0,203530.0,205951.0,208721.0,211261.0,213432.0,216350.0,220780.0,01117,30.828329999999998,812.3610580777731,0.020358739621034704,-0.12756325556242093,0.7722939114354879,0.7660516007976198,0.8936148563600408,Extremely High,4,-0.8998571669979087,Low,1,16
59,"Sumter, AL",1119,14798,14630,14376,14329,14324,14143,14059,13926,13882,13746,13871,13758,13669,13552,13433.0,13341.0,13285.0,13084.0,12985.0,12797.0,12595.0,12482.0,01119,1251.25504,355.64207914727587,-0.008146492682575156,0.3378928249344925,-0.019291147637214536,-0.5776152191515124,-0.9155080440860048,Low,1,0.35718397257170703,High,3,2
60,"Talladega, AL",1121,80321,80939,81095,80900,81139,81546,81991,82226,82735,82674,82347,82265,82194,81845,81673.0,81437.0,81057.0,80888.0,80565.0,80387.0,80244.0,81850.0,01121,27.15008,487.3900408433311,-0.0009957861245704154,-0.1289660959083912,0.20905434018572674,-0.24054842948823812,-0.11158233357984693,Medium,2,-0.3380204360941179,Low,1,8
61,"Tallapoosa, AL",1123,41475,41406,41044,40898,40904,40857,41243,41414,41668,41831,41534,41614,41534,41428,41295.0,41153.0,40958.0,40756.0,40636.0,40541.0,40450.0,41284.0,01123,3240.26701,400.04161466823666,0.001926132806857033,1.0964780869840625,0.05766210057345105,-0.10281632904704674,-1.1992944160311092,Low,1,1.0388159864106115,Extremely High,4,1
62,"Tuscaloosa, AL",1125,164875,166951,168154,169725,171960,175731,181383,184350,188093,192792,188331,191489,194254,196824,198670.0,200458.0,202471.0,204424.0,206213.0,207305.0,208854.0,223945.0,01125,9018.54297,380.3490666405312,0.016768349342381233,3.300243096659359,0.023530988198163773,0.596809398639399,-2.7034336980199605,Low,1,3.2767121084611954,Extremely High,4,1
63,"Walker, AL",1127,70713,70364,69765,69105,68629,68500,68234,67695,67835,67347,67612,67308,67016,66622,66211.0,65923.0,65593.0,64927.0,64493.0,64110.0,63802.0,65194.0,01127,2287.43512,628.5495029423403,-0.004496243270425368,0.7330794549663593,0.45371183483588756,-0.40555140408050283,-1.1386308590468621,Low,1,0.2793676201304717,High,3,2
64,"Washington, AL",1129,18097,17933,17895,17910,17801,17690,17705,17491,17496,17493,17556,17487,17407,17284,17137.0,16997.0,16909.0,16746.0,16643.0,16541.0,16336.0,15574.0,01129,160.35303,162.61106858895693,-0.00393028024606972,-0.07816409156875631,-0.3538523788203033,-0.37887329358327865,-0.30070920201452234,Low,1,0.275688287251547,High,3,2
65,"Winston, AL",1133,24843,24597,24600,24576,24614,24629,24796,24858,24696,24691,24687,24593,24432,24342,24256.0,24130.0,24013.0,23968.0,23875.0,23784.0,23712.0,23650.0,01133,568.7237299999999,459.320526281827,-0.003807672054117552,0.077583585743043,0.1604042744618505,-0.37309384377471766,-0.4506774295177607,Low,1,-0.08282068871880749,Medium,2,3
66,"Aleutians East, AK",2013,2697,2590,2734,2732,2727,2787,2794,3012,2991,3084,3703,3084,3114,3141,3296.0,3304.0,3299.0,3338.0,3425.0,3385.0,3389.0,3409.0,02013,54.41614,11.078303817944436,-0.16716176073453956,-0.11856714829916225,-0.6164888754108375,-8.073205406630315,-7.954638258331153,Low,1,0.49792172711167526,Extremely High,4,1
67,"Aleutians West, AK",2016,5465,5501,5472,5709,5798,5913,5658,5466,5393,5537,6259,5488,5507,5538,5650.0,5684.0,5714.0,5784.0,5750.0,5698.0,5708.0,5251.0,02016,32.64152,11.078303817944436,-0.12318261703147468,-0.12687172668675725,-0.6164888754108375,-6.000136310606859,-5.873264583920101,Low,1,0.48961714872408024,Extremely High,4,1
68,"Anchorage, AK",2020,260283,264274,268229,270568,274484,276494,280085,278792,281554,287677,284267,287390,291470,295237,298178.0,299107.0,299321.0,298225.0,296112.0,293531.0,292090.0,292545.0,02020,12.03268,176.47710577338154,0.010986150344570421,-0.13473169059232273,-0.3298197715276526,0.3242507028550599,0.4589823934473827,Extremely High,4,0.1950880809353299,High,3,14
69,"Bethel, AK",2050,16006,16171,16414,16517,16603,16728,16755,16723,16762,16860,16838,16973,17184,17356,17576.0,17776.0,17885.0,17957.0,18040.0,18134.0,18263.0,18514.0,02050,102.15418000000001,202.49502750272129,0.008017579284950707,-0.1003604335436282,-0.2847255252642353,0.18431953537718204,0.28467996892081027,High,3,0.18436509172060708,Medium,2,11
70,"Denali, AK",2068,1893,1850,1862,1825,1877,1834,1837,1803,1803,1817,1144,1770,1917,2020,2048.0,2060.0,2125.0,2303.0,2232.0,2246.0,2502.0,2187.0,02068,328.07721,38.977491102843615,0.5472027972027972,-0.014196104972200427,-0.5681340208201373,25.600189836195778,25.614385941167978,Extremely High,4,0.5539379158479368,Extremely High,4,13
71,"Juneau, AK",2110,30711,30502,30712,30993,31103,31003,30808,30682,31110,30857,30975,31244,31636,31897,32200.0,32531.0,32524.0,32434.0,32330.0,32227.0,32099.0,32240.0,02110,11.4206,42.96704806612771,0.008684422921711057,-0.13496513054854145,-0.5612193230953998,0.21575291081035203,0.3507180413588935,Extremely High,4,0.42625419254685837,Extremely High,4,13
72,"Kenai Peninsula, AK",2122,49691,49986,50804,50963,51404,51590,52253,53272,53655,54796,53917,54718,55474,56163,56687.0,57221.0,57637.0,57961.0,58220.0,58464.0,58809.0,58711.0,02122,0.0,151.55092218300655,0.014856167813491106,-0.13932081013943065,-0.3730218179064756,0.5066738457442944,0.6459946558837251,Extremely High,4,0.23370100776704494,High,3,14
73,"Kodiak Island, AK",2150,13913,13748,13651,13239,13206,13105,13184,13159,13262,13505,13349,13488,13710,13850,13924.0,13973.0,13918.0,13773.0,13649.0,13451.0,13383.0,13218.0,02150,0.42199,2.769575954486109,0.01041276500112368,-0.13915986822477122,-0.6308895575371118,0.297222722418747,0.4363825906435182,Extremely High,4,0.4917296893123406,Extremely High,4,13
